Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
28,0.004927996826525482,0.004749428720882886,0.00017856810564259584,0.009677425547408369,-0.004380883466404976,0.01423687711945594,-0.008132932155902455,0.01798892580895342,-0.01029884398383238,-0.009972125148568493,-0.02647446788719464,0.004749428720882886,-0.031223896608077527,-0.02172503916631175,-0.035783348180125095,-0.017165587594264183,-0.039535396869622576,-0.013413538904766702,-0.01029884398383238,-0.009972125148568493,0.0621108290866327,0.30035898557950197
29,0.001068191654304693,0.0008980496349366389,0.000170142019368054,0.001966241289241332,-0.0006919856301711193,0.002828368938780505,-0.0014014448417710643,0.00353782815038045,-0.01471125529836482,-0.011113969701385404,-0.005895203713093366,0.0008980496349366389,-0.006793253348030005,-0.004997154078156728,-0.007655380997569178,-0.004135026428617555,-0.008364840209169123,-0.003425567217017609,-0.01471125529836482,-0.011113969701385404,0.07115806506560093,0.2352746845155918
30,0.002617518132765425,0.0025226712262217295,9.484690654369557e-05,0.005140189358987154,-0.002326917470629165,0.007561953736160015,-0.004319827739344331,0.009554864004875182,-0.009082886182150692,-0.011567446910084895,-0.014061981407343256,0.0025226712262217295,-0.016584652633564984,-0.011539310181121526,-0.019006417010737846,-0.009117545803948666,-0.02099932727945301,-0.0071246355352335,-0.009082886182150692,-0.011567446910084895,0.062110829086632825,0.30035898557950075
31,0.001068191654304693,0.0008980496349366389,0.000170142019368054,0.001966241289241332,-0.0006919856301711193,0.002828368938780505,-0.0014014448417710643,0.00353782815038045,-0.011426549750041233,-0.011267829993998855,-0.005895203713093366,0.0008980496349366389,-0.006793253348030005,-0.004997154078156728,-0.007655380997569178,-0.004135026428617555,-0.008364840209169123,-0.003425567217017609,-0.011426549750041233,-0.011267829993998855,0.07115806506560093,0.2352746845155918
32,0.007140353812464582,0.0068816199904282414,0.0002587338220363406,0.014021973802892823,-0.006347621368774771,0.020628328993703933,-0.011784101161213081,0.026064808786142243,-0.012409083702223461,-0.011439722267925424,-0.03835981928677158,0.0068816199904282414,-0.04524143927719983,-0.03147819929634334,-0.05184779446801094,-0.02487184410553223,-0.05728427426044924,-0.01943536431309392,-0.012409083702223461,-0.011439722267925424,0.06211082908663308,0.3003589855794988
33,0.0028525237471770846,0.0020030219799719268,0.0008495017672051578,0.004855545727149011,-0.0010733993335678917,0.006778446827922061,-0.0026557866977457143,0.008360834192099884,-0.01783984270345057,-0.013110518555919402,-0.015388358211342133,0.0020030219799719268,-0.01739138019131406,-0.013385336231370205,-0.019314281292087107,-0.011462435130597156,-0.02089666865626493,-0.009880047766419334,-0.01783984270345057,-0.013110518555919402,0.0851025855646319,0.15553608968749125
34,0.008212814466286458,0.006631185125035204,0.001581629341251254,0.014843999591321662,-0.004784308378782541,0.021209937311355457,-0.010022944627560352,0.02644857356013327,-0.01767917236980639,-0.012912930624756356,-0.044126000525837976,0.006631185125035204,-0.05075718565087318,-0.037494815400802774,-0.05712312337090698,-0.031128877680768975,-0.062361759619684785,-0.025890241431991166,-0.01767917236980639,-0.012912930624756356,0.07407703735144623,0.21657037461441986
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020621094476246948,-0.01630723835751312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020621094476246948,-0.01630723835751312,0.0,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019638560524064718,-0.016307238357513125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019638560524064718,-0.016307238357513125,0.0,1.0
37,0.0036181983001485176,0.002283240389696127,0.0013349579104523905,0.005901438689844645,-0.0008569528636558918,0.008093349463952928,-0.002660712771515832,0.009897109371812866,-0.017294896956174175,-0.013256052325945575,-0.019755745574211683,0.002283240389696127,-0.02203898596390781,-0.017472505184515555,-0.024230896738016094,-0.015280594410407274,-0.026034656645876033,-0.013476834502547334,-0.017294896956174175,-0.013256052325945575,0.09461622644546556,0.11417661431745078
