Day,Slope FD,Slope std dev FD,Slope 68% IC FD LOW,Slope 68% IC FD HIGH,Slope 95% IC FD LOW,Slope 95% IC FD HIGH,Slope 99.7% IC FD LOW,Slope 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,Intercept FD,Intercept std dev FD,Intercept 68% IC FD LOW,Intercept 68% IC FD HIGH,Intercept 95% IC FD LOW,Intercept 95% IC FD HIGH,Intercept 99.7% IC FD LOW,Intercept 99.7% IC FD HIGH,S-Moving avrg 7 days FD,S-Moving avrg 14 days FD,R-value,P-value
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,0.0,0.0,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,0.0,0.0,0.11640746249621099,7.934377792971856e-11
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.62672395750459e-05,-2.5969495188482722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.62672395750459e-05,-2.5969495188482722e-05,0.0,1.0
41,2.7199211111433215e-08,3.957197424660871e-09,2.3242013686772343e-08,3.115640853609408e-08,1.9443104159097908e-08,3.495531806376852e-08,1.631691819361582e-08,3.808150402925061e-08,-5.62672395750459e-05,-2.5969495188482722e-05,-0.0012523208393552694,3.957197424660871e-09,-0.001252324796552694,-0.0012523168821578449,-0.0012523285954622219,-0.001252313083248317,-0.0012523317216481874,-0.0012523099570623515,-5.62672395750459e-05,-2.5969495188482722e-05,0.12253847216001394,7.551006749592929e-12
42,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,-0.0002649873794675908,-0.00012230186744658037,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,-0.0002649873794675908,-0.00012230186744658037,0.11640746249621099,7.934377792971856e-11
43,1.9707532754322342e-08,3.0374538333575348e-09,1.6670078920964807e-08,2.2744986587679878e-08,1.3754123240941574e-08,2.566094226770311e-08,1.1354534712589122e-08,2.8060530796055564e-08,-0.0003212546190426367,-0.0001482713626350631,-0.0007857510264040466,3.0374538333575348e-09,-0.00078575406385788,-0.0007857479889502132,-0.00078575697981356,-0.0007857450729945332,-0.0007857593794020883,-0.0007857426734060049,-0.0003212546190426367,-0.0001482713626350631,0.11576624254418232,1.0077679310181938e-10
44,6.267194520365244e-09,9.605477279011082e-10,5.3066467924641355e-09,7.227742248266352e-09,4.384520973679072e-09,8.149868067051415e-09,3.625688268637196e-09,8.908700772093291e-09,-0.0004522131234433111,-0.0002087137492815282,-0.0003376034374502754,9.605477279011082e-10,-0.0003376043979980033,-0.0003376024769025475,-0.0003376053201238221,-0.0003376015547767287,-0.00033760607895652714,-0.00033760079594402366,-0.0004522131234433111,-0.0002087137492815282,0.11640746249621099,7.934377792971856e-11
45,1.2534389040730487e-08,1.9210954558022163e-09,1.0613293584928271e-08,1.4455484496532704e-08,8.769041947358144e-09,1.629973613410283e-08,7.251376537274392e-09,1.7817401544186583e-08,-0.000508480363018357,-0.00023468324447001093,-0.0006752068749005508,1.9210954558022163e-09,-0.0006752087959960066,-0.000675204953805095,-0.0006752106402476442,-0.0006752031095534574,-0.0006752121579130543,-0.0006752015918880473,-0.000508480363018357,-0.00023468324447001093,0.11640746249621099,7.934377792971856e-11
46,1.880158356109573e-08,2.881643183703288e-09,1.591994037739244e-08,2.1683226744799018e-08,1.3153562921037284e-08,2.4449604201154175e-08,1.0877064805911686e-08,2.672610231627977e-08,-0.0005647476025934029,-0.0002866222348469764,-0.0010128103123508256,2.881643183703288e-09,-0.0010128131939940092,-0.001012807430707642,-0.0010128159603714658,-0.0010128046643301854,-0.0010128182368695808,-0.0010128023878320704,-0.0005647476025934029,-0.0002866222348469764,0.11640746249621246,7.934377792967478e-11
47,1.4883210195305127e-08,2.3531813580209325e-09,1.2530028837284195e-08,1.7236391553326058e-08,1.0270974733584099e-08,1.9495445657026156e-08,8.411961460747562e-09,2.1354458929862692e-08,-0.0007335493213185405,-0.0003645307204124245,-0.00027763864793648525,2.3531813580209325e-09,-0.00027764100111784325,-0.00027763629475512726,-0.00027764326017194697,-0.00027763403570102354,-0.00027764511918521983,-0.0002776321766877507,-0.0007335493213185405,-0.0003645307204124245,0.11288738562371506,2.9016870531004245e-10
48,5.107807455056937e-09,1.3644157496730397e-09,3.743391705383898e-09,6.472223204729977e-09,2.4335525856977793e-09,7.782062324416095e-09,1.3556641434560777e-09,8.859950766657798e-09,-0.0005711022894154099,-0.0003858875394844618,0.00010698336781587037,1.3644157496730397e-09,0.00010698200340012071,0.00010698473223162004,0.00010698069356100101,0.00010698604207073974,0.00010697961567255877,0.00010698711995918198,-0.0005711022894154099,-0.0003858875394844618,0.06709609215642062,0.00018470797238235806
49,2.7526618106528352e-08,3.956466822238178e-09,2.3570151284290175e-08,3.148308492876653e-08,1.9771943134941525e-08,3.528129307811518e-08,1.6646334345373363e-08,3.840690186768334e-08,-0.000497004488537719,-0.00037765804965247176,-0.0012868043435093942,3.956466822238178e-09,-0.0012868082999762164,-0.001286800387042572,-0.0012868120981843658,-0.0012867965888344226,-0.0012868152237931554,-0.001286793463225633,-0.000497004488537719,-0.00037765804965247176,0.12401351321135515,4.212126331717198e-12
50,4.476256761036671e-08,2.006000393671944e-09,4.2756567216694766e-08,4.676856800403865e-08,4.08308068387697e-08,4.8694328381963715e-08,3.924606652776886e-08,5.0279068692964554e-08,-0.0005805133747219435,-0.0004766429991531944,-0.0031021471590872525,2.006000393671944e-09,-0.003102149165087646,-0.003102145153086859,-0.003102151090848024,-0.003102143227326481,-0.0031021526755883352,-0.0031021416425861697,-0.0005805133747219435,-0.0004766429991531944,0.37206430485713227,2.0706276111382184e-102
51,4.615540484602037e-08,5.491064851580053e-09,4.0664339994440316e-08,5.164646969760042e-08,3.539291773692346e-08,5.691789195511727e-08,3.105497650417522e-08,6.125583318786551e-08,-0.0010412706616614398,-0.0007152697036983677,-0.0013139853058005608,5.491064851580053e-09,-0.0013139907968654123,-0.0013139798147357093,-0.00131399606828767,-0.0013139745433134516,-0.0013140004062289026,-0.001313970205372219,-0.0010412706616614398,-0.0007152697036983677,0.14930010609801278,6.403523904120527e-17
52,3.348890858508509e-08,5.172671843895552e-09,2.831623674118954e-08,3.866158042898064e-08,2.335047177104981e-08,4.362734539912037e-08,1.9264061014372325e-08,4.7713756155797855e-08,-0.0011477337334781079,-0.0008163454964522569,-0.0012698177360923736,5.172671843895552e-09,-0.0012698229087642174,-0.0012698125634205298,-0.0012698278745291876,-0.0012698075976555596,-0.0012698319609399443,-0.001269803511244803,-0.0011477337334781079,-0.0008163454964522569,0.11552020659390731,1.1042235475788802e-10
53,3.3725540433567955e-08,3.2925977991191897e-09,3.043294263444877e-08,3.701813823268714e-08,2.7272048747294344e-08,4.0179032119841565e-08,2.4670896485990186e-08,4.2780184381145724e-08,-0.0011905683041016993,-0.0008880542886554952,-0.0009722639042633592,3.2925977991191897e-09,-0.0009722671968611583,-0.0009722606116655601,-0.0009722703577550454,-0.0009722574507716729,-0.0009722729589073068,-0.0009722548496194116,-0.0011905683041016993,-0.0008880542886554952,0.18095879436593587,3.0879522263281148e-24
54,3.4244540866314665e-08,3.427571607192593e-09,3.081696925912207e-08,3.767211247350726e-08,2.7526500516217184e-08,4.096258121641215e-08,2.4818718946535034e-08,4.3670362786094296e-08,-0.0013063391801561785,-0.0009628438197526768,-5.949675278706535e-05,3.427571607192593e-09,-5.9500180358672546e-05,-5.9493325215458155e-05,-5.950347082741545e-05,-5.949003474671525e-05,-5.950617860898513e-05,-5.948732696514557e-05,-0.0013063391801561785,-0.0009628438197526768,0.1766485324328795,3.727838297949606e-23
55,1.118004792856799e-07,9.452812262536285e-09,1.0234766702314361e-07,1.212532915482162e-07,9.327296725110878e-08,1.3032799132025103e-07,8.580524556370512e-08,1.3779571300765468e-07,-0.0013340858669233346,-0.000871088120785892,-0.004035728865770877,9.452812262536285e-09,-0.004035738318583139,-0.0040357194129586145,-0.0040357473932829116,-0.004035710338258842,-0.004035754861004598,-0.004035702870537155,-0.0013340858669233346,-0.000871088120785892,0.20781887791907513,1.3363343012203935e-31
56,1.387608428649182e-07,7.241647269625635e-09,1.3151919559529255e-07,1.4600249013454384e-07,1.2456721421645195e-07,1.5295447151338444e-07,1.188463128734477e-07,1.586753728563887e-07,-0.001792239953966915,-0.0011555593075797846,-0.004617940313048038,7.241647269625635e-09,-0.004617947554695308,-0.004617933071400768,-0.004617954506676686,-0.00461792611941939,-0.004617960227578029,-0.004617920398518047,-0.001792239953966915,-0.0011555593075797846,0.32546557526925096,1.9697657963835036e-77
57,2.6611324659233693e-07,1.5936746926051133e-08,2.501764996662858e-07,2.8204999351838807e-07,2.3487722261727672e-07,2.9734927056739714e-07,2.222871925456963e-07,3.0993930063897755e-07,-0.0020448721462937125,-0.0014503430988600913,-0.009001738852482625,1.5936746926051133e-08,-0.00900175478922955,-0.0090017229157357,-0.0090017700885066,-0.00900170761645865,-0.009001782678536671,-0.009001695026428579,-0.0020448721462937125,-0.0014503430988600913,0.28730829510747896,5.256931298495049e-60
