Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
306,0.025372498648185294,0.002166543160552497,0.023205955487632796,0.027539041808737792,0.0211260740535024,0.02961892324286819,0.019414504956665926,0.03133049233970466,-0.20068629983550923,-0.18047365357016534,-0.0982888388832604,0.002166543160552497,-0.1004553820438129,-0.0961222957227079,-0.1025352634779433,-0.0940424142885775,-0.10424683257477976,-0.09233084519174103,-0.20068629983550923,-0.18047365357016534,0.20586459223125728,4.992490669877847e-31
307,0.034801394412623955,0.0026353099756096284,0.032166084437014325,0.037436704388233585,0.029636186860429084,0.039966601964818826,0.027554291979697478,0.04204849684555043,-0.19374738384951454,-0.1777936257147555,-0.13808897014105165,0.0026353099756096284,-0.14072428011666127,-0.13545366016544202,-0.14325417769324653,-0.13292376258885677,-0.14533607257397813,-0.13084186770812517,-0.19374738384951454,-0.1777936257147555,0.2308159639588007,8.88598861290331e-39
308,0.09193029840350002,0.0043646050097304505,0.08756569339376957,0.09629490341323046,0.08337567258442834,0.1004849242225717,0.07992763462674128,0.10393296218025876,-0.1700081389672442,-0.1693011470380673,-0.3585933175127443,0.0043646050097304505,-0.3629579225224748,-0.35422871250301385,-0.367147943331816,-0.35003869169367263,-0.37059598128950305,-0.3465906537359856,-0.1700081389672442,-0.1693011470380673,0.3538754344661771,3.7386394267106e-92
309,0.06155973101823096,0.003734598802792323,0.057825132215438634,0.06529432982102328,0.05423991736475801,0.06887954467170392,0.05128958431055207,0.07182987772590985,-0.1879840965651036,-0.18227004009802397,-0.23702441703679208,0.003734598802792323,-0.2407590158395844,-0.23328981823399977,-0.24434423069026504,-0.22970460338331913,-0.24729456374447098,-0.2267542703291132,-0.1879840965651036,-0.18227004009802397,0.28391743923915164,1.3965981227626786e-58
310,0.0332607055932726,0.0025940334496259436,0.030666672143646656,0.03585473904289854,0.02817640003200575,0.03834501115453945,0.026127113606801255,0.04039429757974394,-0.19201368760991944,-0.18951137510746127,-0.12983555878249475,0.0025940334496259436,-0.1324295922321207,-0.1272415253328688,-0.1349198643437616,-0.1247512532212279,-0.1369691507689661,-0.12270196679602341,-0.19201368760991944,-0.18951137510746127,0.22445045013573528,1.0410788739689517e-36
311,0.0654313585771781,0.0037483040150086324,0.06168305456216947,0.06917966259218673,0.05808468270776119,0.07277803444659503,0.05512352253590437,0.07573919461845184,-0.18325929579951308,-0.18572317819547834,-0.2563216111779294,0.0037483040150086324,-0.26006991519293804,-0.25257330716292076,-0.2636682870473463,-0.24897493530851247,-0.2666294472192031,-0.24601377513665565,-0.18325929579951308,-0.18572317819547834,0.29920865936894386,3.6652627795021792e-65
312,0.039031840880425384,0.002781360144442583,0.036250480735982804,0.04181320102486796,0.03358037499731792,0.04448330676353285,0.03138310048320828,0.046680581277642484,-0.20302545225571209,-0.1920302971596874,-0.1539564677492554,0.002781360144442583,-0.15673782789369797,-0.15117510760481281,-0.15940793363236286,-0.14850500186614793,-0.1616052081464725,-0.14630772735203829,-0.20302545225571209,-0.1920302971596874,0.24444010816790732,2.0221438813860695e-43
313,0.022893766708130068,0.0019832027354750002,0.020910563972655068,0.024876969443605068,0.01900668934659907,0.026780844069661067,0.017439959185573818,0.028347574230686318,-0.21230339040004456,-0.19817130617666023,-0.08951257822748311,0.0019832027354750002,-0.09149578096295811,-0.08752937549200811,-0.09339965558901411,-0.08562550086595211,-0.09496638575003936,-0.08405877070492686,-0.21230339040004456,-0.19817130617666023,0.20304719139000693,3.260683325720557e-30
314,0.04523928114153112,0.003410573336243111,0.04182870780528801,0.04864985447777423,0.038554557402494624,0.051924004880567615,0.03586020446686256,0.05461835781619968,-0.2042073250811165,-0.19429363259421834,-0.17529693738017302,0.003410573336243111,-0.17870751071641613,-0.1718863640439299,-0.18198166111920952,-0.16861221364113652,-0.18467601405484158,-0.16591786070550446,-0.2042073250811165,-0.19429363259421834,0.23178552254066448,4.246389991596654e-39
315,0.10184219493462408,0.004659150052880296,0.09718304488174379,0.10650134498750438,0.0927102608309787,0.11097412903826946,0.08902953228920327,0.1146548575800449,-0.17365792839235464,-0.1861992093592567,-0.39511899221028235,0.004659150052880296,-0.39977814226316266,-0.39045984215740204,-0.4042509263139277,-0.38598705810663697,-0.40793165485570315,-0.38230632956486155,-0.17365792839235464,-0.1861992093592567,0.36548873395645914,1.2624499475743627e-98
